名前,かな表記,生年月日,年齢,国籍,出身地,身長(cm),体重(kg),クラス（初回レベル分け）,クラス（再評価後）,最終結果,最終順位,備考,自己紹介公式動画
青木 聖波,あおき まさなみ,2001年8月4日,22,日本,東京都,170,55,B,D,第3回発表脱落,27,,○
安慶田 真樹,あげだ まさき,1998年5月27日,25,日本,沖縄県,172,65,D,F,第2回発表脱落,49,,○
アルジャマ 勇心,あるじゃま ゆうじん,2001年8月1日,22,日本 カナダ フィリピン,バンクーバー,170,60,C,F,第1回発表脱落,77,カナディアン・インターナショナルスクール在学中,○
安藤 誠明,あんどう ともあき,1996年12月19日,27,日本,福岡県,173,63,B,B,最終選考脱落,14,「DEEP VOCALIST AUDITION」に出演,○
安藤 優,あんどう ゆう,1998年10月23日,25,日本,山形県,178,65,F,C,第2回発表脱落,47,,○
イ・ミンヒョク,い みんひょく,1991年1月15日,33,韓国,ソウル特別市 茨城県,170,50,B,D,第2回発表脱落,42,マルチタレントとしての経歴あり,○
井汲 大翔,いくみ ひろと,2002年8月23日,21,日本,大阪府,169,53,C,D,第2回発表脱落,36,,○
池本 正義,いけもと まさよし,2001年11月7日,22,日本,兵庫県,169,52,C,C,第1回発表脱落,92,,○
石井 健太郎,いしい けんたろう,1997年4月23日,26,日本,東京都,185,64,F,F,第1回発表脱落,96,,○
石井 祐輝,いしい ゆうき,1997年10月6日,26,日本,群馬県,177,56,C,D,第1回発表脱落,73,「『あんさんぶるスターズ！』」オン・ステージ〜Take your marks!〜出演 (深海奏汰 役)[28],○
五十畑 颯斗,いそはた はやと,1992年12月4日,31,日本,東京都,172,55,B,D,第1回発表脱落,70,,○
稲吉 ひかり,いなよし ひかり,2000年7月27日,23,日本,神奈川県,181,60,B,C,第1回発表脱落,74,,○
井上 港人,いのうえ みなと,1999年12月26日,24,日本,滋賀県,176,68,C,B,最終選考脱落,18,,○
今西 正彦,いまにし まさひこ,2001年7月7日,22,日本,大阪府,171,65,F,B,最終選考脱落,17,,○
岩崎 琉斗,いわさき りゅうと,2000年10月6日,23,日本,愛知県,175,58,D,F,第2回発表脱落,50,,○
上原 潤,うえはら じゅん,1996年11月23日,27,韓国,東京都,177,62,C,B,最終選考脱落,20,「PRODUCE X 101」出演 兄は俳優の上原一翔[29],○
内田 脩斗,うちだ しゅうと,1998年11月1日,25,日本,東京都,187,69,D,D,第2回発表脱落,58,,○
浦野 秀太,うらの しゅうた,1997年6月17日,26,日本,神奈川県,178,61,C,C,第3回発表脱落,32,元 ジャニーズJr. BLOWのメンバー,○
大川 澪哉,おおかわ れいや,1999年11月12日,24,日本,大阪府,178,68,B,B,第1回発表脱落,78,,○
大澤 駿弥,おおさわ しゅんや,1997年5月18日,26,日本,東京都,176,61,D,B,最終選考脱落,13,,○
大平 祥生,おおひら しょうせい,2000年4月13日,23,日本,京都府,176,63,C,B,最終選考合格,4,,○
大水 陸渡,おおみず りくと,1999年6月22日,24,日本,長崎県,172,58,B,F,第1回発表脱落,64,,○
岡田 武大,おかだ たけひろ,1999年12月3日,24,日本,愛知県,175,55,C,C,第2回発表脱落,54,,-
岡野 海斗,おかの かいと,2001年1月21日,23,日本,埼玉県,168,53,C,D,第3回発表脱落,31,,○
男澤 直樹,おざわ なおき,1998年12月5日,25,日本,福岡県,170,60,B,B,第3回発表脱落,29,X'LOCOのメンバー,○
片上 勇士,かたがみ ゆうし,1997年6月27日,26,日本,大阪府,171,49,F,F,第2回発表脱落,60,,○
川尻 蓮,かわしり れん,1997年3月2日,26,日本,福岡県,173,60,A,A,最終選考合格,2,Wanna One、PENTAGONのバックダンサー経験者[30],○
川西 拓実,かわにし たくみ,1999年6月23日,24,日本,兵庫県,170,57,B,A,最終選考合格,3,,○
菅野 雅浩,かんの まさひろ,1999年10月1日,24,日本,北海道,178,68,C,B,第1回発表脱落,83,,○
北岡 謙人,きたおか けんと,2000年6月9日,23,日本,大阪府,176,53,C,B,第2回発表脱落,48,,○
北川 暉,きたがわ ひかる,1999年2月9日,24,日本,大阪府,168,53,D,D,第2回発表脱落,38,,○
北川 玲叶,きたがわ れいと,2002年9月29日,21,日本,宮崎県,170,52,D,F,第3回発表脱落,24,,○
木原 汰一,きはら たいち,1998年9月2日,25,日本,広島県,178,63,B,F,第1回発表脱落,75,,○
木全 翔也,きまた しょうや,2000年4月5日,23,日本,愛知県,171,60,A,A,最終選考合格,8,,○
キム・ヒチョン,きむ ひちょん,1994年9月2日,29,韓国,ソウル特別市,186,63,A,A,辞退,-,HALOのメンバー,○
キム・ユンドン,きむ ゆんどん,1995年2月19日,28,韓国,京畿道龍仁市,176,61,A,A,辞退,-,HALOのメンバー,○
金城 碧海,きんじょう すかい,2000年5月6日,23,日本,大阪府,178,60,B,F,最終選考合格,10,,○
